GeneSymbol	tstat	pval	fdr_q	direction
LPL	3.76148161968395	0.000958007256902298	0.0242760865972314	upreg
IFITM1	3.75229457130139	0.000980335675081313	0.024773268958539	upreg
MFSD1	3.75089401948431	0.000983784256548947	0.0247919292756348	upreg
ROCK1	3.74878399627544	0.000989002300886842	0.0248091020220419	upreg
ST3GAL1	3.74842622622906	0.000989889752620735	0.0248091020220419	upreg
TMEM37	3.73930225935395	0.00101278823140632	0.0253136424723958	upreg
ATP6V1A	3.73568314490122	0.00102201465542585	0.02540542040267	upreg
TANC1	3.73344655721337	0.0010277577643558	0.0254789473465306	upreg
TIMP4	3.72445025418628	0.00105118048781446	0.0259891842372445	upreg
PARD3	3.71991817542791	0.00106317802778322	0.0260430038111206	upreg
IPO7	3.71604785961549	0.00107353011634659	0.0261878621264719	upreg
POU2F1	3.71225977216426	0.00108375810840404	0.026227545009715	upreg
PIK3C2A	3.69857314482349	0.00112151626204522	0.0266666680671517	upreg
ABLIM1	3.69853770707947	0.0011216156833073	0.0266666680671517	upreg
TAPT1	3.6983345207471	0.00112218589345126	0.0266666680671517	upreg
RAB31	3.69780956575574	0.00112366041387783	0.0266666680671517	upreg
PPP1R17	3.69739117104818	0.00112483698417907	0.0266666680671517	upreg
FAM111A	3.69725364741116	0.00112522397925149	0.0266666680671517	upreg
STXBP5L	3.68417322560438	0.00116263620991328	0.02747435441839	upreg
QKI	3.68316578430798	0.00116556777258736	0.02747435441839	upreg
NT5E	3.68119671153319	0.00117131855296151	0.02747435441839	upreg
NR1D2	3.67824887261857	0.00117997994314476	0.027606728810564	upreg
DLGAP1-AS2	3.67546614509989	0.00118821384032136	0.0277284517407657	upreg
PGBD5	3.67431595540092	0.00119163361179962	0.0277324971692249	upreg
UST	3.67337100157893	0.00119445039414965	0.0277324971692249	upreg
ZNF730	3.66826788708315	0.00120977535031697	0.027876054544848	upreg
SAMD8	3.65796797909174	0.00124129629815565	0.0283711458251052	upreg
CEP135	3.65631111655252	0.00124644145405349	0.0283711458251052	upreg
ARSE	3.65575059825241	0.00124818679460547	0.0283711458251052	upreg
CALCRL	3.65521076489612	0.00124986999148054	0.0283711458251052	upreg
H19	3.65283181896296	0.00125731407946941	0.0283991823740516	upreg
TXNRD1	3.6503518567995	0.00126512053460696	0.028505125174565	upreg
IFITM3	3.64643090668136	0.00127755999503348	0.0286443005564546	upreg
HPS5	3.64259553520606	0.00128984391388426	0.0287431162377179	upreg
SH3BP5-AS1	3.64186421303379	0.0012921992968082	0.0287431162377179	upreg
SLC12A8	3.64016828401204	0.00129767764093013	0.0287431162377179	upreg
MYLIP	3.63813026147359	0.00130429116347453	0.0288198218507942	upreg
IMPAD1	3.63420328336196	0.00131712774226781	0.0288940834899236	upreg
ANO6	3.62851377713218	0.00133594556091958	0.0291670038741528	upreg
AGPAT5	3.62061281543774	0.00136251515902011	0.0295344986253514	upreg
LINC00657	3.61928903844605	0.00136701713599099	0.0295344986253514	upreg
CNTN2	3.61873051085136	0.00136892097600262	0.0295344986253514	upreg
IFNAR1	3.61442025956649	0.00138370083034096	0.0297132176043298	upreg
CUL4B	3.61169433293168	0.00139312857817719	0.0297758736787899	upreg
DNA2	3.6086090684699	0.00140387500428784	0.0299356181500852	upreg
B4GALT5	3.60479783836411	0.00141726217583721	0.0299929736565361	upreg
WDR52	3.60369078079911	0.00142117414952365	0.0299929736565361	upreg
PIK3AP1	3.60116153285723	0.00143015137561033	0.0299929736565361	upreg
UACA	3.60005977280191	0.00143407925956535	0.0299929736565361	upreg
PIEZO2	3.59985324369643	0.00143481673065439	0.0299929736565361	upreg
ODF2L	3.59879138287871	0.00143861427214754	0.0299929736565361	upreg
BRCA2	3.59840960505736	0.00143998203022287	0.0299929736565361	upreg
TRDMT1	3.5976713435281	0.001442630538904	0.0299929736565361	upreg
C5orf51	3.59594266620958	0.00144885082450138	0.0300480818645015	upreg
TSHZ1	3.59367481864548	0.00145705102164327	0.0300876393419359	upreg
C1GALT1	3.58666888685152	0.00148267134219435	0.0304481149882106	upreg
EOGT	3.58567913064105	0.00148632618103285	0.0304481149882106	upreg
ADAM12	3.58265040079392	0.00149756510968017	0.0305110008051442	upreg
CHL1	3.58010591953728	0.00150707132985921	0.0306195392494144	upreg
LEPR	3.57672289455786	0.00151980182417316	0.0307585322458182	upreg
HLTF	3.57542691694141	0.00152470646791883	0.0307896761999231	upreg
PON2	3.57379443551528	0.00153090665140595	0.0308467872509489	upreg
SEPP1	3.57230196909857	0.00153659662921827	0.0308933895413407	upreg
RAD50	3.56992619588625	0.00154569687656703	0.0310082007994088	upreg
ZNF704	3.55425332631746	0.00160706515639059	0.0320251643043252	upreg
SIPA1L1	3.55342001339532	0.00161039390131492	0.0320251643043252	upreg
ZNF518A	3.55197546259962	0.00161618026565342	0.0320268783051763	upreg
IL13RA1	3.55165114032453	0.00161748217765255	0.0320268783051763	upreg
ADM	3.54978827829596	0.00162498005465886	0.0321058464851287	upreg
CORO2B	3.54809326451597	0.00163183186284456	0.0321717369701806	upreg
FAM63B	3.54551153748002	0.0016423223440582	0.0322107391769001	upreg
FANCM	3.54445529154332	0.00164663321980282	0.0322107391769001	upreg
FAR2	3.5438225180276	0.00164922106378787	0.0322107391769001	upreg
DTX4	3.54362360963186	0.00165003535697773	0.0322107391769001	upreg
ETV5	3.54242829969019	0.00165493700883964	0.0322107391769001	upreg
RP11-353B9.1	3.53469687631927	0.00168698689517784	0.0326954102690265	upreg
MANEA	3.53312498060083	0.00169357681734138	0.0327537357193634	upreg
KIAA1731	3.52847321218756	0.00171322626460305	0.0329942450163937	upreg
RP11-1008C21.2	3.5241105152738	0.00173185687767745	0.0332829740964741	upreg
MAP9	3.51857280766618	0.00175579042452863	0.0335315974563308	upreg
PEX1	3.51588984396683	0.0017675018171024	0.033554770662564	upreg
MXRA5	3.51522043853885	0.00177043570243281	0.033554770662564	upreg
SERPING1	3.51500793705119	0.00177136805253293	0.033554770662564	upreg
IQGAP1	3.51493775263387	0.00177167609188821	0.033554770662564	upreg
ADAMTS6	3.511658172529	0.00178612862474418	0.0336293587307678	upreg
PPP1R16B	3.51155535590993	0.00178658357501793	0.0336293587307678	upreg
NNT	3.50937977184707	0.00179623681533403	0.0336713750681993	upreg
SEC63	3.49333989451619	0.00186899510988122	0.0347402520133409	upreg
TNC	3.49181861972869	0.00187604319010654	0.0347402520133409	upreg
DUSP4	3.48968564979537	0.00188596893618258	0.0348535016613587	upreg
BROX	3.48527639452357	0.00190664999884261	0.0350939028780081	upreg
FOXP1	3.47802616363596	0.00194113807241948	0.0354488914752939	upreg
KLHL36	3.47796387108574	0.00194143700675052	0.0354488914752939	upreg
SLC38A1	3.47665192091777	0.00194774333285199	0.0354931946112244	upreg
CHSY1	3.47545708260881	0.00195350409618832	0.0355273997150234	upreg
EXOC1	3.47245821180737	0.00196803603949607	0.0356484620883139	upreg
NEDD1	3.47167438851616	0.0019718516330477	0.0356484620883139	upreg
COL25A1	3.46321068302742	0.00201351437090117	0.0363298709638555	upreg
ARID5A	3.45776815594077	0.00204075719340627	0.0367489305343397	upreg
PCNXL2	3.45516715437963	0.00205390313673364	0.036912992707537	upreg
ZNF813	3.45375069480321	0.00206109684723922	0.0369696470132404	upreg
PIK3R1	3.44565465023956	0.0021026873596914	0.0373070888467681	upreg
PRNP	3.44536783979002	0.00210417563866323	0.0373070888467681	upreg
SEZ6L	3.44389072791255	0.00211185673553479	0.0373070888467681	upreg
ZMAT1	3.44374393141959	0.00211262157883012	0.0373070888467681	upreg
PACSIN2	3.44297852905737	0.00211661387247792	0.0373070888467681	upreg
RHOBTB1	3.43831176231932	0.00214111488803472	0.0376016552312917	upreg
RNF213	3.4376618057298	0.00214454906325291	0.0376016552312917	upreg
DOCK4	3.43734554597419	0.00214622202389228	0.0376016552312917	upreg
ECM1	3.43667602210726	0.00214976788558821	0.0376016552312917	upreg
LRRIQ1	3.43197206158966	0.00217484181440711	0.0377768193046476	upreg
PIK3CA	3.43169997735103	0.00217630080637874	0.0377768193046476	upreg
C14orf93	3.42940491174132	0.00218864556557437	0.0378550844972423	upreg
DZIP3	3.42932327353845	0.00218908593639502	0.0378550844972423	upreg
C2CD3	3.42459822337841	0.00221472116922606	0.0380160829118278	upreg
SCN3A	3.42180348170573	0.00223002099436472	0.0381913184643212	upreg
FZD5	3.41954632848273	0.00224245282695816	0.0381913184643212	upreg
IPO8	3.41929969625398	0.002243815295386	0.0381913184643212	upreg
FRAT1	3.41893245770438	0.00224584552114338	0.0381913184643212	upreg
MDGA2	3.41888573986324	0.00224610392216657	0.0381913184643212	upreg
MYBL1	3.41751653126422	0.00225369001279379	0.0382492123205378	upreg
RDX	3.41488257366243	0.00226835360592863	0.0384267873848136	upreg
RHPN2	3.41261572555705	0.00228104773787178	0.0385338255201459	upreg
PNPLA8	3.41225095989237	0.00228309683530232	0.0385338255201459	upreg
ECE1	3.40430022589693	0.00232820814122831	0.0392228416858848	upreg
STIM2	3.39882637974448	0.002359768582154	0.0395776329923354	upreg
