,fx,PSD
0,0.0,0.0030277643258389835
1,0.005,0.26724895435399193
2,0.01,0.4659482668318253
3,0.015,0.6307353521520569
4,0.02,0.7687192987625259
5,0.025,0.8966838427661222
6,0.03,0.9999999999999999
7,0.035,0.9485605980074431
8,0.04,0.9021899640461306
9,0.045,0.8528218278673366
10,0.05,0.8044365170111449
11,0.055,0.760921343679427
12,0.06,0.7142776853699575
13,0.065,0.6644374451937323
14,0.07,0.6207005976483898
15,0.075,0.5744019044037889
16,0.08,0.5238547244641735
17,0.085,0.48372476764548544
18,0.09,0.4432778342762869
19,0.095,0.4097223756861609
20,0.1,0.3744681230733931
21,0.105,0.3490950508061853
22,0.11,0.324572619182445
23,0.115,0.30387966034295366
24,0.12,0.29216228398103333
25,0.125,0.2878642769955741
26,0.13,0.2826251819243776
27,0.135,0.28795739843706886
28,0.14,0.28695254393952935
29,0.145,0.2904448218214026
30,0.15,0.3011699398874648
31,0.155,0.30451762883951067
32,0.16,0.30810900565662264
33,0.165,0.3061405598812144
34,0.17,0.3134642066287682
35,0.17500000000000002,0.30982415888802173
36,0.18,0.3119757295325077
37,0.185,0.3070581413996689
38,0.19,0.3063439958919819
39,0.195,0.29533183514335576
40,0.2,0.2895191121269198
41,0.20500000000000002,0.28252378697061065
42,0.21,0.2755910733325126
43,0.215,0.2685962723965444
44,0.22,0.26207301966589347
45,0.225,0.24852352716146328
46,0.23,0.24507339375231985
47,0.23500000000000001,0.2348716825459228
48,0.24,0.22399026234021488
49,0.245,0.2159315019745155
50,0.25,0.20437534400117482
