,var,metric
0,0.0,1.0430430988100512
1,0.1,1.076735683950209
2,0.2,1.114005030324397
3,0.3,1.1650876590064356
4,0.4,1.1975920341658237
5,0.5,1.2153782844769698
6,0.6,1.2178484629929391
7,0.7,1.3283815453614949
8,0.8,1.3424260773929224
9,0.9,1.3523127805129054
10,1.0,1.3693917804054743
11,1.1,1.4639016132828697
12,1.2,1.4232764830234093
13,1.3,1.4990421996512775
14,1.4,1.510243722911199
15,1.5,1.5368091501325172
16,1.6,1.6116864805412932
17,1.7,1.6147119177023785
18,1.8,1.6391289492699141
19,1.9,1.6548906782334916
20,2.0,1.6625406106354694
