,fx,PSD
0,0.0,1.0
1,0.005,0.9968423954927478
2,0.01,0.8510265426174759
3,0.015,0.7681495647884907
4,0.02,0.7064999352557391
5,0.025,0.6549858310024158
6,0.03,0.6086258217404845
7,0.035,0.5652364529210283
8,0.04,0.5241932785495071
9,0.045,0.4845365266960178
10,0.05,0.4461280380851404
11,0.055,0.4092478955835711
12,0.06,0.3735471359894005
13,0.065,0.33918491326132905
14,0.07,0.3068243795417569
15,0.075,0.2760379137229419
16,0.08,0.24735127704112922
17,0.085,0.2210971504907217
18,0.09,0.19707222559935175
19,0.095,0.17588647464945997
20,0.1,0.15728339137791053
21,0.105,0.1415012107695992
22,0.11,0.12863377565270076
23,0.115,0.11859748107470708
24,0.12,0.11092467355189208
25,0.125,0.1055307982212595
26,0.13,0.10190844471643211
27,0.135,0.09950181005192953
28,0.14,0.09787007529913348
29,0.145,0.09675417669903306
30,0.15,0.0958366036517489
31,0.155,0.09481043897990978
32,0.16,0.09347242013417942
33,0.165,0.09186660698965543
34,0.17,0.09003599232070046
35,0.17500000000000002,0.08805271999407442
36,0.18,0.08545940942127167
37,0.185,0.08282559106978557
38,0.19,0.0799085907635064
39,0.195,0.07674836003679592
40,0.2,0.07334160175728884
41,0.20500000000000002,0.07016259634674796
42,0.21,0.06665942950271869
43,0.215,0.06309959132116673
44,0.22,0.05969553975229862
45,0.225,0.05640417827881715
46,0.23,0.05317276428954388
47,0.23500000000000001,0.04991090619533489
48,0.24,0.04672883186591461
49,0.245,0.04374159288059857
50,0.25,0.040996886075461744
