,fx,PSD
0,1.0,3.1396832979681734e-08
1,1.05,4.92562555314188e-08
2,1.1,3.3500768570772724e-08
3,1.1500000000000001,1.700560731828202e-08
4,1.2000000000000002,1.6421490972143455e-08
5,1.25,1.1412576226389905e-08
6,1.3,7.9238336149933e-09
7,1.35,4.529748874435494e-09
8,1.4000000000000001,2.55780945601469e-09
9,1.4500000000000002,2.701449454314433e-09
10,1.5,1.9682818410118603e-09
11,1.55,1.1288924049867644e-09
12,1.6,1.304245851441727e-09
13,1.6500000000000001,9.978785808354805e-10
14,1.7000000000000002,1.002067140219733e-09
15,1.75,7.69786278390998e-10
16,1.8,5.124553945076076e-10
17,1.85,8.326108064729583e-10
18,1.9000000000000001,8.558959568310126e-10
19,1.9500000000000002,8.623417712601896e-10
20,2.0,6.750957163267524e-10
21,2.0500000000000003,7.170726243272088e-10
22,2.1,6.845739359770544e-10
23,2.15,9.486875932527593e-10
24,2.2,1.2721823241382866e-09
25,2.25,1.0921157123013406e-09
26,2.3000000000000003,1.105214494207358e-09
27,2.35,1.8104020237310939e-09
28,2.4000000000000004,2.17932518154899e-09
29,2.45,1.276256185435592e-09
30,2.5,2.334201039310655e-09
31,2.5500000000000003,2.376197872895002e-09
32,2.6,2.510049301636606e-09
33,2.6500000000000004,2.2942525254106625e-09
34,2.7,1.4058372505917296e-09
35,2.75,1.7067126400189238e-09
36,2.8000000000000003,2.271001696360767e-09
37,2.85,2.9681943228280305e-09
38,2.9000000000000004,3.4118099987919123e-09
39,2.95,3.069345627900685e-09
40,3.0,3.6344960460420617e-09
41,3.0500000000000003,4.093423788503304e-09
42,3.1,3.0176509904809128e-09
43,3.1500000000000004,2.943263585812114e-09
44,3.2,3.4779025279515845e-09
45,3.25,2.2841129955945705e-09
46,3.3000000000000003,3.275516125446367e-09
47,3.35,3.531824817276246e-09
48,3.4000000000000004,4.028400646537371e-09
49,3.45,4.245359754253855e-09
50,3.5,3.6199334048176403e-09
51,3.5500000000000003,3.3694596976762325e-09
52,3.6,5.853909244419294e-09
53,3.6500000000000004,6.012706528691012e-09
54,3.7,3.810665953225431e-09
55,3.75,5.024562241149031e-09
56,3.8000000000000003,6.026092579954831e-09
57,3.85,6.446542033008626e-09
58,3.9000000000000004,8.561464177067945e-09
59,3.95,8.054433435812477e-09
60,4.0,7.880160956768026e-09
61,4.05,6.309751787582014e-09
62,4.1000000000000005,3.2893641037683797e-09
63,4.15,3.5677673784972944e-09
64,4.2,6.1472673793072585e-09
65,4.25,7.058294977894754e-09
66,4.3,5.277632767375828e-09
67,4.3500000000000005,7.436892508398902e-09
68,4.4,8.291908647957028e-09
69,4.45,6.939066634153442e-09
70,4.5,1.0078819572002425e-08
71,4.55,9.89833013877206e-09
72,4.6000000000000005,8.440537081498662e-09
73,4.65,7.660375085812818e-09
74,4.7,7.661297179077074e-09
75,4.75,6.701120582658854e-09
76,4.800000000000001,6.005816189342085e-09
77,4.8500000000000005,6.070254208042045e-09
78,4.9,5.994988624456041e-09
79,4.95,7.161663210823083e-09
80,5.0,6.341168525147644e-09
81,5.050000000000001,5.990454946377634e-09
82,5.1000000000000005,9.006396739909208e-09
83,5.15,1.1988457245621578e-08
84,5.2,1.5238403625760357e-08
85,5.25,1.4500134434526362e-08
86,5.300000000000001,1.1705488579694302e-08
87,5.3500000000000005,1.1402950009401164e-08
88,5.4,9.876788881305019e-09
89,5.45,1.1260971679250297e-08
90,5.5,9.28573799716403e-09
91,5.550000000000001,7.919716697234955e-09
92,5.6000000000000005,7.4352964562895665e-09
93,5.65,7.837283495883874e-09
94,5.7,7.970960783013229e-09
95,5.75,1.1020913629733342e-08
96,5.800000000000001,1.0045684662196924e-08
97,5.8500000000000005,9.570844674672211e-09
98,5.9,6.662726642863367e-09
99,5.95,9.521115516157873e-09
100,6.0,1.4771542568539611e-08
101,6.050000000000001,1.4727333332974722e-08
102,6.1000000000000005,1.8315773579887313e-08
103,6.15,1.5445086475686736e-08
104,6.2,1.4626802145644176e-08
105,6.25,1.9304435621291512e-08
106,6.300000000000001,2.2155369892888963e-08
107,6.3500000000000005,1.4727635022817826e-08
108,6.4,1.1184487378326213e-08
109,6.45,1.6600115331499092e-08
110,6.5,1.4168544709299634e-08
111,6.550000000000001,1.3790030718299668e-08
112,6.6000000000000005,1.8145498221580065e-08
113,6.65,1.6902451589974352e-08
114,6.7,1.4007392118761039e-08
115,6.75,1.4437803829520887e-08
116,6.800000000000001,1.555468593748203e-08
117,6.8500000000000005,1.589792920032746e-08
118,6.9,1.2500501041594437e-08
119,6.95,9.267267033005655e-09
120,7.0,1.4581437113898226e-08
121,7.050000000000001,1.7821975302659067e-08
122,7.1000000000000005,9.572397201686233e-09
123,7.15,1.2731058106197464e-08
124,7.2,1.4011297142296975e-08
125,7.25,1.3183825964866316e-08
126,7.300000000000001,1.7081695632811495e-08
127,7.3500000000000005,1.5783184858000272e-08
128,7.4,1.4529186619783539e-08
129,7.45,2.058975444030512e-08
130,7.5,2.14978261720195e-08
131,7.550000000000001,1.3663070117530893e-08
132,7.6000000000000005,1.0857225033293048e-08
133,7.65,1.4324404110597687e-08
134,7.7,1.820450610439204e-08
135,7.75,2.4509597901067114e-08
136,7.800000000000001,2.4009356845842586e-08
137,7.8500000000000005,2.3902225628944933e-08
138,7.9,2.2251477382330686e-08
139,7.95,1.9026194374020153e-08
140,8.0,1.64149125150359e-08
141,8.05,1.6813002787209313e-08
142,8.1,2.0227644254467845e-08
143,8.15,2.548525696377454e-08
144,8.200000000000001,4.8481861692909746e-08
145,8.25,3.8099482918871774e-08
146,8.3,2.1787814975308887e-08
147,8.35,2.326609298099464e-08
148,8.4,2.554759427278438e-08
149,8.450000000000001,2.0926555302647277e-08
150,8.5,3.100725454525675e-08
151,8.55,3.1004305440951236e-08
152,8.6,2.4026587572940075e-08
153,8.65,2.7314835082527747e-08
154,8.700000000000001,2.4935371524631727e-08
155,8.75,2.7497787781974442e-08
156,8.8,2.7702386182289024e-08
157,8.85,3.952695690268357e-08
158,8.9,3.333424756127976e-08
159,8.950000000000001,2.3413539713760438e-08
160,9.0,2.5082644489788913e-08
161,9.05,2.025741560841648e-08
162,9.1,2.3195590038032004e-08
163,9.15,3.8842653710945826e-08
164,9.200000000000001,3.230484184510127e-08
165,9.25,2.859763831431054e-08
166,9.3,2.942262206498024e-08
167,9.35,3.2618286668218144e-08
168,9.4,3.520404284563893e-08
169,9.450000000000001,3.203991313459156e-08
170,9.5,2.1468080005885317e-08
171,9.55,1.7071301656260568e-08
172,9.600000000000001,2.2424453846333687e-08
173,9.65,3.149945257054554e-08
174,9.700000000000001,2.1169383951426796e-08
175,9.75,2.2761504409476125e-08
176,9.8,4.432455099054101e-08
177,9.850000000000001,3.942168703088873e-08
178,9.9,3.048424536903592e-08
179,9.950000000000001,3.3710519925410096e-08
180,10.0,2.9947972882905476e-08
181,10.05,2.7994599902002022e-08
182,10.100000000000001,2.585157677919607e-08
183,10.15,2.5848479694146817e-08
184,10.200000000000001,2.1096019827176555e-08
185,10.25,2.459145908856216e-08
186,10.3,3.448716928302442e-08
187,10.350000000000001,3.122206607105292e-08
188,10.4,2.6732540824271465e-08
189,10.450000000000001,3.731034748554442e-08
190,10.5,4.018778706165367e-08
191,10.55,1.5291319411459774e-08
192,10.600000000000001,2.1789466843377478e-08
193,10.65,3.023892026431833e-08
194,10.700000000000001,3.0780168837336705e-08
195,10.75,2.64496924979589e-08
196,10.8,2.6458390358012587e-08
197,10.850000000000001,2.1232822228918696e-08
198,10.9,2.475645331292528e-08
199,10.950000000000001,2.471277949411263e-08
200,11.0,2.392776913079518e-08
201,11.05,2.780357799546493e-08
202,11.100000000000001,3.9669267227914145e-08
203,11.15,4.5670250693779625e-08
204,11.200000000000001,3.5493302073607066e-08
205,11.25,3.8972787120803656e-08
206,11.3,3.208746519383974e-08
207,11.350000000000001,3.645570648325888e-08
208,11.4,3.604361925855567e-08
209,11.450000000000001,4.950847169756897e-08
210,11.5,5.48443548146421e-08
211,11.55,3.6117860374986635e-08
212,11.600000000000001,3.0540553528662196e-08
213,11.65,3.7233865005585806e-08
214,11.700000000000001,3.046704483284635e-08
215,11.75,2.8285173073231352e-08
216,11.8,4.4957048469030564e-08
217,11.850000000000001,3.6328868902408035e-08
218,11.9,3.476717800932575e-08
219,11.950000000000001,4.757405380980354e-08
220,12.0,5.9419525987578434e-08
221,12.05,4.48924505065997e-08
222,12.100000000000001,3.675748730108726e-08
223,12.15,3.414584363849234e-08
224,12.200000000000001,3.840808370054514e-08
225,12.25,4.3845115524047803e-08
226,12.3,2.999904808678081e-08
227,12.350000000000001,4.145663063735958e-08
228,12.4,5.924412028600928e-08
229,12.450000000000001,5.2615026909499364e-08
230,12.5,3.745208847191675e-08
231,12.55,3.6976891569582424e-08
232,12.600000000000001,3.90856833578564e-08
233,12.65,3.3581931513479417e-08
234,12.700000000000001,4.086964835926287e-08
235,12.75,5.186016768528631e-08
236,12.8,4.4674811257919935e-08
237,12.850000000000001,4.844420868350468e-08
238,12.9,4.9226345614820844e-08
239,12.950000000000001,5.085117252366846e-08
240,13.0,4.8906382406485504e-08
241,13.05,3.340236570931187e-08
242,13.100000000000001,3.088028106727414e-08
243,13.15,3.538630395271467e-08
244,13.200000000000001,4.325126853780772e-08
245,13.25,4.3139093131508377e-08
246,13.3,6.35426005422344e-08
247,13.350000000000001,5.438431738120307e-08
248,13.4,3.166231592348073e-08
249,13.450000000000001,4.3901599703686563e-08
250,13.5,5.2542509181048834e-08
251,13.55,3.462158608891889e-08
252,13.600000000000001,3.819648458599756e-08
253,13.65,4.716550885012049e-08
254,13.700000000000001,4.388993575444527e-08
255,13.75,4.0571428458133265e-08
256,13.8,3.743320261120476e-08
257,13.850000000000001,3.629585997447849e-08
258,13.9,5.894627851509762e-08
259,13.950000000000001,5.2538535204242016e-08
260,14.0,4.481826888268091e-08
261,14.05,4.5608539552953924e-08
262,14.100000000000001,4.9858231218724646e-08
263,14.15,3.0082312835773727e-08
264,14.200000000000001,3.483133505003442e-08
265,14.25,5.104092352424928e-08
266,14.3,4.712166039819658e-08
267,14.350000000000001,3.895649886254094e-08
268,14.4,4.650098884866841e-08
269,14.450000000000001,5.7701800254237295e-08
270,14.5,5.980473485466309e-08
271,14.55,4.241908017356077e-08
272,14.600000000000001,5.121289146854768e-08
273,14.65,3.939597313587892e-08
274,14.700000000000001,4.0669480961226765e-08
275,14.75,4.861194119413509e-08
276,14.8,4.3966976662932485e-08
277,14.850000000000001,6.37134574606038e-08
278,14.9,5.6926383533314035e-08
279,14.950000000000001,4.6642848570212674e-08
280,15.0,6.786487948158125e-08
281,15.05,5.500886666571514e-08
282,15.100000000000001,4.9982179335402625e-08
283,15.15,6.146082365941607e-08
284,15.200000000000001,6.001334481384748e-08
285,15.25,5.6744089850919075e-08
286,15.3,5.5415127595186263e-08
287,15.350000000000001,4.4160643232820925e-08
288,15.4,6.860221013559805e-08
289,15.450000000000001,6.759979245439075e-08
290,15.5,6.75130454923086e-08
291,15.55,5.8507880371976205e-08
292,15.600000000000001,3.908394469666918e-08
293,15.65,3.522894724808496e-08
294,15.700000000000001,5.195481132848201e-08
295,15.75,6.188003626150273e-08
296,15.8,4.868499745637207e-08
297,15.850000000000001,2.994186908181819e-08
298,15.9,3.8025528377047016e-08
299,15.950000000000001,5.4770016414787255e-08
300,16.0,5.4720678988117515e-08
301,16.05,6.427616858295759e-08
302,16.1,9.584203874120082e-08
303,16.150000000000002,5.8007789849948595e-08
304,16.2,7.343089047492553e-08
305,16.25,6.901517392028873e-08
306,16.3,5.328105798501262e-08
307,16.35,6.216046901520615e-08
308,16.400000000000002,7.552619700114467e-08
309,16.45,5.0042291579071615e-08
310,16.5,4.936468528404003e-08
311,16.55,4.675269548576217e-08
312,16.6,4.155064763846081e-08
313,16.650000000000002,4.120819179903254e-08
314,16.7,5.135126344667644e-08
315,16.75,4.5095737636792006e-08
316,16.8,3.558942897994691e-08
317,16.85,4.06101153309466e-08
318,16.900000000000002,5.218257874620845e-08
319,16.95,9.478747706155628e-08
320,17.0,9.194686700763033e-08
321,17.05,4.4607059217689214e-08
322,17.1,4.823422743724587e-08
323,17.150000000000002,6.260337626123368e-08
324,17.2,6.294865262720335e-08
325,17.25,6.913914584752178e-08
326,17.3,4.702135107727485e-08
327,17.35,3.743967005749105e-08
328,17.400000000000002,5.6177716134561656e-08
329,17.45,6.204189294831841e-08
330,17.5,5.6091194285670714e-08
331,17.55,4.9161651486431836e-08
332,17.6,3.77549066595437e-08
333,17.650000000000002,4.358202042522107e-08
334,17.7,5.2981447810908074e-08
335,17.75,8.166046585185281e-08
336,17.8,1.2102325066655518e-07
337,17.85,9.386290731521818e-08
338,17.900000000000002,4.77357682170576e-08
339,17.95,5.193042717269555e-08
340,18.0,6.63181676845337e-08
341,18.05,6.959164614385009e-08
342,18.1,7.11447105376342e-08
343,18.150000000000002,7.06273208133059e-08
344,18.2,6.71652997045312e-08
345,18.25,6.69246259981808e-08
346,18.3,6.044065829461611e-08
