,var,metric
0,0.0,1.3314986205928334
1,0.1,1.282855762906987
2,0.2,1.326697876755527
3,0.3,1.3834823626662132
4,0.4,1.3927960426105734
5,0.5,1.3881268737116905
6,0.6,1.4069650059046563
7,0.7,1.452541801225847
8,0.8,1.4795602053368495
9,0.9,1.4802835251065827
10,1.0,1.4537913169958276
11,1.1,1.5144417808789117
12,1.2,1.4821450796373519
13,1.3,1.554697539659083
14,1.4,1.5569036612561489
15,1.5,1.565238443559605
16,1.6,1.6079167692450909
17,1.7,1.5984801028283981
18,1.8,1.610851433344391
19,1.9,1.6072699602120535
20,2.0,1.623279055551681
