,var,metric
0,-75.0,-2.7682257545407807
1,-74.8717948718,-2.7818343514433383
2,-74.7435897436,-1.7308131356582035
3,-74.6153846154,-2.4920614934655276
4,-74.4871794872,-1.8255826500676278
5,-74.358974359,-2.8205064395866914
6,-74.2307692308,-2.4652452845568638
7,-74.1025641026,-2.267259436139081
8,-73.9743589744,-2.575836571056614
9,-73.8461538462,-2.709713521996189
10,-73.7179487179,-2.1331777247108694
11,-73.5897435897,-2.2196102046200483
12,-73.4615384615,-2.5019979148432
13,-73.3333333333,-2.287648852750252
14,-73.2051282051,-2.746752175474701
15,-73.0769230769,-2.658139404983809
16,-72.9487179487,-2.266761656529585
17,-72.8205128205,-1.920717994464877
18,-72.6923076923,-2.2018327330093874
19,-72.5641025641,-2.3920561268104246
20,-72.4358974359,-2.5644986929108304
21,-72.3076923077,-2.0602173956733005
22,-72.1794871795,-2.112279145951176
23,-72.0512820513,-2.437724749310579
24,-71.9230769231,-2.3037977491123756
25,-71.7948717949,-1.9404865847748185
26,-71.6666666667,-1.9119754007568655
27,-71.5384615385,-2.440339097759713
28,-71.4102564103,-2.2758733839134426
29,-71.2820512821,-2.3666647833263115
30,-71.1538461538,-1.9537353848678338
31,-71.0256410256,-2.2721314780590616
32,-70.8974358974,-1.8932630512727655
33,-70.7692307692,-2.099918678927933
34,-70.641025641,-2.3509405210824186
35,-70.5128205128,-2.26103764036014
36,-70.3846153846,-2.348147420062768
37,-70.2564102564,-2.150585577908367
38,-70.1282051282,-2.368251472851266
39,-70.0,-2.1840803110004288
40,-69.8717948718,-2.216466759271223
41,-69.7435897436,-2.2791889964164014
42,-69.6153846154,-2.162747816659544
43,-69.4871794872,-2.2572814259438294
44,-69.358974359,-2.222084139367134
45,-69.2307692308,-2.175324093434513
46,-69.1025641026,-2.1470575650368624
47,-75.0,-2.376074041603071
48,-74.8717948718,-2.4634149309416964
49,-74.7435897436,-2.415811053553596
50,-74.6153846154,-2.3573520400056407
51,-74.4871794872,-2.6028117399414503
52,-74.358974359,-2.3502128860285905
53,-74.2307692308,-2.63235403188646
54,-74.1025641026,-1.9968783529844676
55,-73.9743589744,-1.669316607477238
56,-73.8461538462,-2.6165446170711837
57,-73.7179487179,-2.2857433968882086
58,-73.5897435897,-2.725661910306294
59,-73.4615384615,-2.4082361791839055
60,-73.3333333333,-2.6535171498549035
61,-73.2051282051,-2.8181867751608163
62,-73.0769230769,-2.081768365741155
63,-72.9487179487,-2.5979047646964277
64,-72.8205128205,-2.2621803748440117
65,-72.6923076923,-2.0736932307336593
66,-72.5641025641,-2.329241148118945
67,-72.4358974359,-2.5029239840271544
68,-72.3076923077,-1.9509093121461474
69,-72.1794871795,-2.0273842832948827
70,-72.0512820513,-2.070542727985564
71,-71.9230769231,-2.337072379879862
72,-71.7948717949,-2.2551262477336995
73,-71.6666666667,-2.456051464900708
74,-71.5384615385,-2.1392483624174154
75,-71.4102564103,-2.2790767342885476
76,-71.2820512821,-2.031394694782643
77,-71.1538461538,-1.9042239946449113
78,-71.0256410256,-1.9343314656251296
79,-70.8974358974,-2.6030715664232718
80,-70.7692307692,-2.2926701674077665
81,-70.641025641,-2.383899586836805
82,-70.5128205128,-2.2851019592145287
83,-70.3846153846,-2.2069821104434535
84,-70.2564102564,-2.0466540512675455
85,-70.1282051282,-2.1656986598534287
86,-70.0,-2.0414043024043838
87,-69.8717948718,-2.1981762027402434
88,-69.7435897436,-2.149404086583074
89,-69.6153846154,-2.245429786286034
90,-69.4871794872,-2.376989225443776
91,-69.358974359,-2.044208354971393
92,-69.2307692308,-2.2489855472244216
93,-69.1025641026,-2.164525880131412
