,X,Y,Z
0,0.25,0.0,-0.0003330229817052742
1,0.688,0.0,0.004645327704146096
2,1.126,0.0,0.012782328860785605
3,1.564,0.0,0.025715624824043937
4,2.002,0.0,0.042152049197198484
5,2.44,0.0,0.06003447707441826
6,2.878,0.0,0.06462792665980499
7,3.316,0.0,0.0643933593076614
8,3.754,0.0,0.0598338808725398
9,4.192,0.0,0.05339175755579371
10,4.63,0.0,0.046242639941887806
11,5.068,0.0,0.039438195995820796
12,5.506,0.0,0.030555629676258335
13,5.944,0.0,0.020196651464321792
14,6.382,0.0,0.017017853549758623
15,6.82,0.0,0.01647418594619892
16,0.25,2.0,-0.03140163193291912
17,0.688,2.0,-0.038984139923774905
18,1.126,2.0,-0.037637251785221044
19,1.564,2.0,-0.022849714565292768
20,2.002,2.0,0.0006338842666213634
21,2.44,2.0,0.02085840857009834
22,2.878,2.0,0.035773083890272374
23,3.316,2.0,0.04397405475907473
24,3.754,2.0,0.04274087833070994
25,4.192,2.0,0.030024570082152598
26,4.63,2.0,0.013205156538153125
27,5.068,2.0,0.00214685008238377
28,5.506,2.0,-0.007035052050697005
29,5.944,2.0,-0.004246175396450525
30,6.382,2.0,-0.002227126747035228
31,6.82,2.0,0.0006131848104459978
32,0.25,4.0,-0.01222589370293778
33,0.688,4.0,-0.011205121635296827
34,1.126,4.0,0.0033702784930914297
35,1.564,4.0,0.02674598972301337
36,2.002,4.0,0.045182349524610366
37,2.44,4.0,0.05742572039761238
38,2.878,4.0,0.06635089710275868
39,3.316,4.0,0.06446326215596901
40,3.754,4.0,0.05007223436655143
41,4.192,4.0,0.030463553675701603
42,4.63,4.0,0.012612472025143073
43,5.068,4.0,0.00021522576101924706
44,5.506,4.0,-0.004360573708263852
45,5.944,4.0,-0.004711363366487902
46,6.382,4.0,-8.850019017803967e-05
47,6.82,4.0,0.0027085989226359212
48,0.25,6.0,-0.011837576619175304
49,0.688,6.0,-0.009905474051063439
50,1.126,6.0,0.005965818198401714
51,1.564,6.0,0.0284080780533201
52,2.002,6.0,0.05110514130059081
53,2.44,6.0,0.05930983158053251
54,2.878,6.0,0.05955019348551425
55,3.316,6.0,0.054721942559236694
56,3.754,6.0,0.04407840486793484
57,4.192,6.0,0.02423920286573942
58,4.63,6.0,0.0006734526195971098
59,5.068,6.0,-0.01403263513615625
60,5.506,6.0,-0.02245110474283835
61,5.944,6.0,-0.024816408632930553
62,6.382,6.0,-0.030043294117486585
63,6.82,6.0,-0.032643908084052056
64,0.25,8.0,-0.010981248882884464
65,0.688,8.0,-0.0033708429902368484
66,1.126,8.0,0.012235849209700935
67,1.564,8.0,0.03287185388441609
68,2.002,8.0,0.05466297657746509
69,2.44,8.0,0.06433625185892279
70,2.878,8.0,0.06366278786362993
71,3.316,8.0,0.057105717703679615
72,3.754,8.0,0.042795478568960016
73,4.192,8.0,0.029228728136825415
74,4.63,8.0,0.015592258451856317
75,5.068,8.0,0.011331629199354713
76,5.506,8.0,0.007563470184727905
77,5.944,8.0,0.007977340720714396
78,6.382,8.0,0.007836790773041556
79,6.82,8.0,0.005072936046042871
80,0.25,10.0,0.014185264212364029
81,0.688,10.0,0.00969149435191886
82,1.126,10.0,0.015365342999839365
83,1.564,10.0,0.03767028123151071
84,2.002,10.0,0.06858064206382813
85,2.44,10.0,0.09555064412429962
86,2.878,10.0,0.11583645153912656
87,3.316,10.0,0.12788205340837297
88,3.754,10.0,0.1313604790680866
89,4.192,10.0,0.12397847232431183
90,4.63,10.0,0.10724027785890385
91,5.068,10.0,0.08902765949153332
92,5.506,10.0,0.07081431963744585
93,5.944,10.0,0.05706650368163314
94,6.382,10.0,0.04634199568952162
95,6.82,10.0,0.039839458738719094
96,0.25,12.0,0.03396586104342325
97,0.688,12.0,0.037468970161183224
98,1.126,12.0,0.0564991052498177
99,1.564,12.0,0.08499850457512617
100,2.002,12.0,0.11509275491361406
101,2.44,12.0,0.14312902287878
102,2.878,12.0,0.1593880865388571
103,3.316,12.0,0.16941338736799463
104,3.754,12.0,0.16613254339563968
105,4.192,12.0,0.15831111427695396
106,4.63,12.0,0.14656627745859424
107,5.068,12.0,0.14248831655127991
108,5.506,12.0,0.13622419513114495
109,5.944,12.0,0.13630211379689167
110,6.382,12.0,0.13808842781403283
111,6.82,12.0,0.13714253529299986
112,0.25,14.0,0.06305404329642482
113,0.688,14.0,0.08735766915751036
114,1.126,14.0,0.11796251735062095
115,1.564,14.0,0.15262351024395862
116,2.002,14.0,0.18868439213275492
117,2.44,14.0,0.21625616349076307
118,2.878,14.0,0.23231993613367266
119,3.316,14.0,0.23265993267117596
120,3.754,14.0,0.22295493207676195
121,4.192,14.0,0.21104376137469422
122,4.63,14.0,0.19690563835900296
123,5.068,14.0,0.18961803032185748
124,5.506,14.0,0.18376699861788648
125,5.944,14.0,0.1795209144948104
126,6.382,14.0,0.17890867589864415
127,6.82,14.0,0.17893024379214784
128,0.25,16.0,0.11423815974522988
129,0.688,16.0,0.1260009050167125
130,1.126,16.0,0.14370743838038574
131,1.564,16.0,0.17061819049513427
132,2.002,16.0,0.19469204217662212
133,2.44,16.0,0.2139130757471135
134,2.878,16.0,0.2209291898957654
135,3.316,16.0,0.21799492276397014
136,3.754,16.0,0.2032961224447231
137,4.192,16.0,0.18506634184134357
138,4.63,16.0,0.16948981078161607
139,5.068,16.0,0.15712151505855526
140,5.506,16.0,0.1490237399954218
141,5.944,16.0,0.14455170813197166
142,6.382,16.0,0.13466162648903887
143,6.82,16.0,0.12433880534294095
144,0.25,18.0,0.0776249962156742
145,0.688,18.0,0.07924587524991741
146,1.126,18.0,0.0979695671599157
147,1.564,18.0,0.12155348626031885
148,2.002,18.0,0.15033728610932517
149,2.44,18.0,0.1739452364276907
150,2.878,18.0,0.18564659097197486
151,3.316,18.0,0.18429119896929025
152,3.754,18.0,0.17412988398173626
153,4.192,18.0,0.1579161203861499
154,4.63,18.0,0.1404773849262973
155,5.068,18.0,0.12635683905755374
156,5.506,18.0,0.11216062396534618
157,5.944,18.0,0.10212555252526109
158,6.382,18.0,0.09746032754355709
159,6.82,18.0,0.09889852836630064
160,0.25,20.0,0.019706962537349357
161,0.688,20.0,0.03593836462300607
162,1.126,20.0,0.06021355955916726
163,1.564,20.0,0.09188601215595889
164,2.002,20.0,0.12319288108059612
165,2.44,20.0,0.15305495762395344
166,2.878,20.0,0.17416188595629958
167,3.316,20.0,0.18180631991776613
168,3.754,20.0,0.17725323327357728
