,time,LFP
0,1000.0,-0.7176393850389076
1,1001.0,-0.7643800798643481
2,1002.0,-0.6768209484548019
3,1003.0,-0.6108527965515973
4,1004.0,-0.6958883015866894
5,1005.0,-0.7298182437236003
6,1006.0,-0.7628717760287991
7,1007.0,-0.7975688536084611
8,1008.0,-0.8200793284277982
9,1009.0,-0.8603466217139547
10,1010.0,-0.7629329161853763
11,1011.0,-0.6339443669485485
12,1012.0,-0.6643912881602971
13,1013.0,-0.6793540388380132
14,1014.0,-0.5862219467523048
15,1015.0,-0.6267499989493212
16,1016.0,-0.34970552726125365
17,1017.0,-0.3938135543476446
18,1018.0,-0.5095573156931807
19,1019.0,-0.5832852419239006
20,1020.0,-0.6481814793402465
21,1021.0,-0.6924656263953567
22,1022.0,-0.7429595735656134
23,1023.0,-0.7407098137509687
24,1024.0,-0.624808419578417
25,1025.0,-0.6017944963549454
26,1026.0,-0.5107252556937947
27,1027.0,-0.5901396425159068
28,1028.0,-0.6454267583500386
29,1029.0,-0.6980447654814198
30,1030.0,-0.7342119257759397
31,1031.0,-0.7720832776515998
32,1032.0,-0.7489700689328356
33,1033.0,-0.7507868426221217
34,1034.0,-0.8037106839430442
35,1035.0,-0.7624073834862967
36,1036.0,-0.6239833000484046
37,1037.0,-0.6311971522851622
38,1038.0,-0.680582212428034
39,1039.0,-0.7533207173929719
40,1040.0,-0.6246476693229573
41,1041.0,-0.6212385544801707
42,1042.0,-0.6281353049376919
43,1043.0,-0.41784807333649254
44,1044.0,-0.28639007381135523
45,1045.0,-0.3639808948968893
46,1046.0,-0.4703688541576114
47,1047.0,-0.5343517883840139
48,1048.0,-0.6250572270667223
49,1049.0,-0.6403862802110611
50,1050.0,-0.6566470699543312
51,1051.0,-0.7140330805460819
52,1052.0,-0.7860265535893658
53,1053.0,-0.8033806983998011
54,1054.0,-0.7765212509646051
55,1055.0,-0.8065697133856116
56,1056.0,-0.8501798974828363
57,1057.0,-0.8130308989839612
58,1058.0,-0.7967304205417879
59,1059.0,-0.6244605430814597
60,1060.0,-0.5113263495371241
61,1061.0,-0.46163972333766135
62,1062.0,-0.5732586064898506
63,1063.0,-0.6490808872640276
64,1064.0,-0.7248540618495506
65,1065.0,-0.7781471487757187
66,1066.0,-0.7758544372096572
67,1067.0,-0.7797642804106478
68,1068.0,-0.841442019636871
69,1069.0,-0.8138987190748627
70,1070.0,-0.8163303819522642
71,1071.0,-0.8526979938063838
72,1072.0,-0.8730856419647549
73,1073.0,-0.8938588448673447
74,1074.0,-0.9127494229329256
75,1075.0,-0.9301060754799418
76,1076.0,-0.919457680074492
77,1077.0,-0.888994624577846
78,1078.0,-0.8086187784597462
79,1079.0,-0.6047584878874711
80,1080.0,-0.42084124238472376
81,1081.0,-0.5194041306130426
82,1082.0,-0.39352281397128414
83,1083.0,-0.23112311902051857
84,1084.0,-0.24758017442602917
85,1085.0,0.025203501128839775
86,1086.0,0.17101090028133833
87,1087.0,-0.05658997905955438
88,1088.0,-0.1999187810717238
89,1089.0,-0.20412317469729194
90,1090.0,-0.3222106580779416
91,1091.0,-0.45781927880104945
92,1092.0,-0.5492421338892494
93,1093.0,-0.6243260209445711
94,1094.0,-0.6996110458817343
95,1095.0,-0.7071399124620034
96,1096.0,-0.716016836312267
97,1097.0,-0.773276730705321
98,1098.0,-0.8117953554451104
99,1099.0,-0.840227894213858
100,1100.0,-0.8577281500563696
101,1101.0,-0.868846204759108
102,1102.0,-0.8501685435776893
103,1103.0,-0.8044911955389564
104,1104.0,-0.8046122622655485
105,1105.0,-0.8546423367371576
106,1106.0,-0.8162060012746221
107,1107.0,-0.8389356086901975
108,1108.0,-0.8852046028287129
109,1109.0,-0.9131945255890832
110,1110.0,-0.8722917121939964
111,1111.0,-0.8980652050930851
112,1112.0,-0.8080558351746456
113,1113.0,-0.6821735232963194
114,1114.0,-0.7291469530028653
115,1115.0,-0.7228748592399035
116,1116.0,-0.7942757373966989
117,1117.0,-0.7929214584171365
118,1118.0,-0.7353961461970622
119,1119.0,-0.7969704302451248
120,1120.0,-0.838498222254289
121,1121.0,-0.6914259090689668
122,1122.0,-0.7029083755280074
123,1123.0,-0.7687169694607422
124,1124.0,-0.7248326550154711
125,1125.0,-0.6112616898643287
126,1126.0,-0.6945993657493083
127,1127.0,-0.6929943447910035
128,1128.0,-0.7019042722249031
129,1129.0,-0.7116823807131676
130,1130.0,-0.7539110673431276
131,1131.0,-0.7962173437736756
132,1132.0,-0.8422905686207167
133,1133.0,-0.880656245613992
134,1134.0,-0.8955445423036813
135,1135.0,-0.9116888601679964
136,1136.0,-0.928852052979875
137,1137.0,-0.9290639513923875
138,1138.0,-0.9190994498179369
139,1139.0,-0.9124373771476139
140,1140.0,-0.9270731001432989
141,1141.0,-0.8383817846146681
142,1142.0,-0.682862735005012
143,1143.0,-0.6609349756862138
144,1144.0,-0.609775934373264
145,1145.0,-0.6868051686568906
146,1146.0,-0.5114092026480601
147,1147.0,-0.39263551735052077
148,1148.0,-0.42540129635747553
149,1149.0,-0.33850976995914217
150,1150.0,-0.4470459144581834
