,time,BOLD
0,10.0,-0.007408666053170337
1,10.5,-0.21391314147965512
2,11.0,-0.3306571689603364
3,11.5,-0.24560924991587818
4,12.0,-0.11473665843873025
5,12.5,-0.0825966022117124
6,13.0,-0.07533588942969
7,13.5,-0.02489720737636379
8,14.0,0.07669779361758418
9,14.5,0.21729519826268573
10,15.0,0.3381257475966157
11,15.5,0.28042438626424704
12,16.0,0.036038021374827214
13,16.5,-0.17763952020987994
14,17.0,-0.2662022698000413
15,17.5,-0.20881910275251123
16,18.0,0.13632685525249183
17,18.5,0.5716366085200383
18,19.0,0.7670048505062547
19,19.5,0.7071122161399697
20,20.0,0.4441695698792355
21,20.5,0.1501975302563455
22,21.0,0.10890448708152052
23,21.5,0.3202377633605778
24,22.0,0.5807597780221448
25,22.5,0.6973058329577605
26,23.0,0.6049854324207503
27,23.5,0.4575102236294988
28,24.0,0.3327017905022189
29,24.5,0.15085519423432736
30,25.0,-0.05710567173416169
31,25.5,-0.29802920151733664
32,26.0,-0.5788484690935296
33,26.5,-0.7747614759034809
34,27.0,-0.8273206915296317
35,27.5,-0.7098471991254415
36,28.0,-0.5537455658611522
37,28.5,-0.4096809655306788
38,29.0,-0.3265637231188969
39,29.5,-0.4519329388866725
40,30.0,-0.5517403541572952
41,30.5,-0.5348539351821701
42,31.0,-0.6817148758021965
43,31.5,-0.8892879064695253
44,32.0,-0.9713507917207804
45,32.5,-0.8411739018397794
46,33.0,-0.5104808006338716
47,33.5,-0.26887405537570674
48,34.0,-0.22613703624179995
49,34.5,-0.21523432267972947
50,35.0,-0.22744112124291446
51,35.5,-0.28103186738705793
52,36.0,-0.2937441582282401
53,36.5,-0.2578422307673864
54,37.0,-0.16795720064940603
55,37.5,0.1822713643240575
56,38.0,0.5877193039879482
57,38.5,0.7781306674607165
58,39.0,0.6622503231438039
59,39.5,0.3206707079025535
60,40.0,0.11668828798096478
61,40.5,0.07925428070602179
62,41.0,0.14950363691280946
63,41.5,0.2940218899624061
64,42.0,0.515076850465401
65,42.5,0.8085241522521949
66,43.0,1.0
67,43.5,0.9390313843601176
68,44.0,0.6640871091378409
69,44.5,0.4144626830459798
70,45.0,0.3916308938970561
71,45.5,0.3448382631766206
72,46.0,0.16829443466374236
73,46.5,-0.006867570600009471
74,47.0,-0.06053729335208583
75,47.5,-0.02723438790176046
76,48.0,-0.033790888678686834
77,48.5,-0.13103629112024454
78,49.0,-0.23598874562688352
79,49.5,-0.42969183990758963
80,50.0,-0.7367358250481896
81,50.5,-0.8607646667120218
82,51.0,-0.785657912386736
83,51.5,-0.6657932235338667
84,52.0,-0.5990474591401191
85,52.5,-0.5704723483492979
86,53.0,-0.6030923376167436
87,53.5,-0.6243986024238906
88,54.0,-0.5105436843919389
89,54.5,-0.3987088594588803
90,55.0,-0.30461244840267
91,55.5,-0.2009812425403272
92,56.0,-0.04613439771355695
93,56.5,0.09418659296753201
94,57.0,0.06357962004049704
95,57.5,-0.061572889276002504
96,58.0,-0.09381739891604952
97,58.5,-0.11964516544897379
98,59.0,-0.153569025477374
99,59.5,-0.09604975510280257
100,60.0,-0.0612462602126934
101,60.5,-0.08185753421004976
102,61.0,-0.29293096011216885
103,61.5,-0.5877935159377933
104,62.0,-0.7883210454929744
105,62.5,-0.6974459710266562
106,63.0,-0.2070081898242987
107,63.5,0.3466736763836462
108,64.0,0.6377383997440428
109,64.5,0.7627303675049835
110,65.0,0.7677151119045844
111,65.5,0.7877030196390596
112,66.0,0.8079474736836096
113,66.5,0.6225787821317803
114,67.0,0.2712588685490728
115,67.5,-0.02771821046056649
116,68.0,-0.18767659989637206
117,68.5,-0.24725623426324095
