,time,band
0,0.25,0.03627612638041611
1,0.688,0.04231290264851553
2,1.126,0.051684189250444365
3,1.564,0.06660304111707503
4,2.002,0.08830892147358774
5,2.44,0.11257535886928102
6,2.878,0.1388043581972194
7,3.316,0.16155588749541172
8,3.754,0.1781259285836962
9,4.192,0.18801063997611614
10,4.63,0.1904827090442054
11,5.068,0.18445942639770038
12,5.506,0.17210561465072127
13,5.944,0.15487278730460508
14,6.382,0.13423972043922178
15,6.82,0.11259826671676146
16,7.258,0.09144524195847288
17,7.696,0.07206043632392407
