,fx,PSD
0,1.0,1.5660376472288396e-08
1,1.05,1.8583800793133324e-08
2,1.1,1.10500914339974e-08
3,1.1500000000000001,6.411353091048196e-09
4,1.2000000000000002,3.6098935965476787e-09
5,1.25,3.15622221110483e-09
6,1.3,1.9469119276947655e-09
7,1.35,6.695155477983462e-10
8,1.4000000000000001,8.120202394044391e-10
9,1.4500000000000002,6.93147927030506e-10
10,1.5,4.3782370393605063e-10
11,1.55,2.880130688569604e-10
12,1.6,1.878184478862032e-10
13,1.6500000000000001,2.16148774214323e-10
14,1.7000000000000002,2.6601019113645906e-10
15,1.75,2.76433005791403e-10
16,1.8,2.0303377104207385e-10
17,1.85,1.4699841333168153e-10
18,1.9000000000000001,1.9876988011305458e-10
19,1.9500000000000002,2.4112978699167017e-10
20,2.0,2.4742782296093705e-10
21,2.0500000000000003,3.1439161634516343e-10
22,2.1,2.483428948101699e-10
23,2.15,3.095803952751028e-10
24,2.2,3.9627223130781564e-10
25,2.25,4.060249888790727e-10
26,2.3000000000000003,4.1454002740464444e-10
27,2.35,3.951380756379591e-10
28,2.4000000000000004,5.29504944793306e-10
29,2.45,4.83250895494392e-10
30,2.5,5.567908271504135e-10
31,2.5500000000000003,5.158384508550711e-10
32,2.6,4.20770275563559e-10
33,2.6500000000000004,4.2559499859524e-10
34,2.7,6.262114172864749e-10
35,2.75,5.495828052602292e-10
36,2.8000000000000003,7.775662953108766e-10
37,2.85,6.661582923059186e-10
38,2.9000000000000004,6.682739887106994e-10
39,2.95,8.095949350410222e-10
40,3.0,6.875924905490334e-10
41,3.0500000000000003,5.537648593885147e-10
42,3.1,7.079818987219982e-10
43,3.1500000000000004,7.206152303674534e-10
44,3.2,8.67593122332888e-10
45,3.25,1.1849633195601969e-09
46,3.3000000000000003,1.445014489765177e-09
47,3.35,1.4405947130454714e-09
48,3.4000000000000004,9.146826627525346e-10
49,3.45,9.049005252884241e-10
50,3.5,1.1318588462067727e-09
51,3.5500000000000003,9.99026011019348e-10
52,3.6,1.1669410128642283e-09
53,3.6500000000000004,1.2074000777058927e-09
54,3.7,1.3041744335639682e-09
55,3.75,1.352087077276551e-09
56,3.8000000000000003,1.329504457813236e-09
57,3.85,1.22724313487552e-09
58,3.9000000000000004,1.970137031351889e-09
59,3.95,2.416607186111733e-09
60,4.0,1.490747703772926e-09
61,4.05,1.0562808572068951e-09
62,4.1000000000000005,1.3570291445698386e-09
63,4.15,1.2319530203338183e-09
64,4.2,1.98311337473838e-09
