,var,metric
0,-75.0,-1.2720556111309966
1,-74.8717948718,-1.2522515519088908
2,-74.7435897436,-1.0651709921245087
3,-74.6153846154,-1.2395115912236747
4,-74.4871794872,-1.0264152949302214
5,-74.358974359,-1.3388468738564123
6,-74.2307692308,-1.2218620956893034
7,-74.1025641026,-1.2742261690793193
8,-73.9743589744,-1.3027679423522267
9,-73.8461538462,-1.348103497741047
10,-73.7179487179,-1.1321718266942788
11,-73.5897435897,-1.2139368622450655
12,-73.4615384615,-1.1543957887223026
13,-73.3333333333,-1.207400183710108
14,-73.2051282051,-1.4089504204695744
15,-73.0769230769,-1.2756146806635575
16,-72.9487179487,-1.2119612974215277
17,-72.8205128205,-1.0268925067254893
18,-72.6923076923,-1.1994048470865613
19,-72.5641025641,-1.212049137443921
20,-72.4358974359,-1.2703143409700801
21,-72.3076923077,-1.0438255549759639
22,-72.1794871795,-1.0370310366753877
23,-72.0512820513,-1.1489800767176273
24,-71.9230769231,-1.1279640346997546
25,-71.7948717949,-1.0088313685715407
26,-71.6666666667,-0.970347029530245
27,-71.5384615385,-1.0738500681097303
28,-71.4102564103,-1.069344851021418
29,-71.2820512821,-1.067688904695536
30,-71.1538461538,-0.9851533907655707
31,-71.0256410256,-1.0655650334712383
32,-70.8974358974,-0.8953300268690225
33,-70.7692307692,-0.983698374672231
34,-70.641025641,-1.0234558311336908
35,-70.5128205128,-1.1253880007546249
36,-70.3846153846,-1.031487646535712
37,-70.2564102564,-0.9001172693110392
38,-70.1282051282,-0.922032375706013
39,-70.0,-0.7502861601246014
40,-69.8717948718,-0.759841948753254
41,-69.7435897436,-0.9225985224307656
42,-69.6153846154,-0.8648133273709613
43,-69.4871794872,-0.8515066621588987
44,-69.358974359,-0.7916178093062332
45,-69.2307692308,-0.7328842148563935
46,-69.1025641026,-0.6981948779035481
47,-75.0,-1.1249880314927647
48,-74.8717948718,-1.2468945866144205
49,-74.7435897436,-1.2621323015541448
50,-74.6153846154,-1.127636935337719
51,-74.4871794872,-1.282509384010719
52,-74.358974359,-1.239203333380261
53,-74.2307692308,-1.2948094990660788
54,-74.1025641026,-1.0751734515614302
55,-73.9743589744,-0.9357065071619539
56,-73.8461538462,-1.1616042890157732
57,-73.7179487179,-1.2097604016697368
58,-73.5897435897,-1.4080842323591545
59,-73.4615384615,-1.3717269200371758
60,-73.3333333333,-1.3468336874033116
61,-73.2051282051,-1.3416097725545444
62,-73.0769230769,-1.062710127271873
63,-72.9487179487,-1.3127601533395992
64,-72.8205128205,-1.1685006175631265
65,-72.6923076923,-1.0579902145522913
66,-72.5641025641,-1.2367562723506378
67,-72.4358974359,-1.2204807755824274
68,-72.3076923077,-0.9303215805972732
69,-72.1794871795,-1.019895775191905
70,-72.0512820513,-1.045468617537095
71,-71.9230769231,-1.2076237823794738
72,-71.7948717949,-1.126265706172449
73,-71.6666666667,-1.1124962628808905
74,-71.5384615385,-1.0293979483175084
75,-71.4102564103,-1.0840087927438529
76,-71.2820512821,-0.9938607107162956
77,-71.1538461538,-0.9459251309133578
78,-71.0256410256,-0.89670234727972
79,-70.8974358974,-1.0942743998373994
80,-70.7692307692,-0.951968350514639
81,-70.641025641,-1.1055632668780513
82,-70.5128205128,-1.015366052246461
83,-70.3846153846,-1.0237598626600315
84,-70.2564102564,-0.839650237116058
85,-70.1282051282,-0.84049336818026
86,-70.0,-0.8310993676962909
87,-69.8717948718,-0.8257012767085875
88,-69.7435897436,-0.864633000518001
89,-69.6153846154,-0.7686261034693183
90,-69.4871794872,-0.8321223458547787
91,-69.358974359,-0.7707446859805702
92,-69.2307692308,-0.8063498833342215
93,-69.1025641026,-0.7500224327572025
