,time,band
0,0.25,0.04864339054595458
1,0.688,0.05619682272746427
2,1.126,0.06639710192576669
3,1.564,0.08147012287970379
4,2.002,0.1024527113938009
5,2.44,0.12492384239078605
6,2.878,0.14936857130063766
7,3.316,0.17046907536384823
8,3.754,0.18568974235387772
9,4.192,0.19454818033322552
10,4.63,0.19601539295377107
11,5.068,0.19029735016212193
12,5.506,0.17776450368997204
13,5.944,0.16096727632869942
14,6.382,0.14119519406669861
15,6.82,0.1203898690671722
16,7.258,0.0999452327978827
17,7.696,0.08135553462102488
