,var,metric
0,-53.0,0.10745359147598729
1,-52.9743589744,0.05531568410909182
2,-52.9230769231,0.13141814905187452
3,-52.9102564103,0.12987560943234505
4,-52.8461538462,0.1113096737543802
5,-52.7820512821,0.0539814751102271
6,-52.7692307692,0.06636581329274727
7,-52.7179487179,-0.025166879478355178
8,-52.6923076923,0.09282944280678646
9,-52.6538461538,-0.04184173246932499
10,-52.6153846154,-0.03631837283701089
11,-52.5897435897,0.07900089127222625
12,-52.5384615385,0.0016550070452092669
13,-52.5256410256,-0.10919655251089254
14,-52.4615384615,-0.11429107103047974
15,-52.3974358974,-0.10468292290655061
16,-52.3846153846,-0.11581001515488039
17,-52.3333333333,-0.11719140210693518
18,-52.3076923077,-0.12804504006691633
19,-52.2692307692,-0.21376344716846543
20,-52.2307692308,-0.21536528288920734
21,-52.2051282051,-0.22195780010363197
22,-52.1538461538,-0.268995916265393
23,-52.141025641,-0.27019544958383357
24,-52.0769230769,-0.39873956026138513
25,-52.0128205128,-0.3354143997037876
26,-52.0,-0.3913235005694222
27,-51.9487179487,-0.46231050944406804
28,-51.9230769231,-0.4196968710307136
29,-51.8846153846,-0.39168469840291437
30,-51.8461538462,-0.46237068934662884
31,-51.8205128205,-0.4796377935023599
32,-51.7692307692,-0.540544264475994
33,-51.7564102564,-0.6170760590050743
34,-51.6923076923,-0.6357326982653775
35,-51.6282051282,-0.6666785227785841
36,-51.6153846154,-0.705022845708286
37,-51.5641025641,-0.6270697695965322
38,-51.5384615385,-0.6125407199849228
39,-51.5,-0.7172404720471731
40,-52.9743589744,0.16429838637048405
41,-52.9102564103,0.07894314248661827
42,-52.8461538462,0.0056105242940986955
43,-52.7820512821,-0.010460543566656488
44,-52.7179487179,0.03288172898933994
45,-52.6538461538,0.06605166206936573
46,-52.5897435897,-0.029145836145020716
47,-52.5256410256,-0.0201283654395481
48,-52.4615384615,-0.0428079226325675
49,-52.3974358974,-0.08268690397589877
50,-52.3333333333,-0.11380948365855156
51,-52.2692307692,-0.1063321661278405
52,-52.2051282051,-0.23231377467386755
53,-52.141025641,-0.22609553850709646
54,-52.0769230769,-0.31864269841428294
55,-52.0128205128,-0.31390751269601574
56,-51.9487179487,-0.3932214671730921
57,-51.8846153846,-0.4671427708722297
58,-51.8205128205,-0.4702184791373372
59,-51.7564102564,-0.5883870645153706
60,-51.6923076923,-0.566867684626985
61,-51.6282051282,-0.5984799428025354
62,-51.5641025641,-0.7587573716934359
63,-51.5,-0.6939695566321673
