,time,band
0,0.25,-0.0007780644476261301
1,0.688,0.001377568662758236
2,1.126,0.006386964984707195
3,1.564,0.01620205323777224
4,2.002,0.032291132916817414
5,2.44,0.053528996643989094
6,2.878,0.07516945092755559
7,3.316,0.09445761329268279
8,3.754,0.10855966179896152
9,4.192,0.11653401406033037
10,4.63,0.11946324169693794
11,5.068,0.1171557220268336
12,5.506,0.10779206847109975
13,5.944,0.09167640030762707
14,6.382,0.07360833985789687
15,6.82,0.05510338239201873
16,7.258,0.03643002275196301
17,7.696,0.022088131696028503
